
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

      286   0.235617021277        0.617043100153E-002   0.785625000008E-001
      287   0.241507446809        0.617043100153E-002   0.785625000008E-001
      288   0.247397872340        0.617043100153E-002   0.785625000008E-001
      289   0.253288297872        0.617043100153E-002   0.785625000008E-001
      290   0.259178723404        0.617043100153E-002   0.785625000008E-001
      291   0.265069148936        0.617043100153E-002   0.785625000008E-001
      292   0.270959574468        0.617043100153E-002   0.785625000008E-001
      293   0.276850000000        0.617043100153E-002   0.785625000008E-001
      294   0.282740425532        0.617043100153E-002   0.785625000008E-001
      295   0.288630851064        0.617043100153E-002   0.785625000008E-001
      296   0.294521276596        0.617043100153E-002   0.785625000008E-001
      297   0.300411702128        0.617043100153E-002   0.785625000008E-001
      298   0.306302127660        0.617043100153E-002   0.785625000008E-001
      299   0.312192553192        0.617043100153E-002   0.785625000008E-001
      300   0.318082978723        0.617043100153E-002   0.785625000008E-001

   NODE        X                   Y                   Z
      301   0.323973404255        0.617043100153E-002   0.785625000008E-001
      302   0.329863829787        0.617043100153E-002   0.785625000008E-001
      303   0.335754255319        0.617043100153E-002   0.785625000008E-001
      304   0.341644680851        0.617043100153E-002   0.785625000008E-001
      305   0.347535106383        0.617043100153E-002   0.785625000008E-001
      306   0.353425531915        0.617043100153E-002   0.785625000008E-001
      307   0.359315957447        0.617043100153E-002   0.785625000008E-001
      308   0.365206382979        0.617043100153E-002   0.785625000008E-001
      309   0.371096808511        0.617043100153E-002   0.785625000008E-001
      310   0.376987234043        0.617043100153E-002   0.785625000008E-001
      311   0.382877659574        0.617043100153E-002   0.785625000008E-001
      312   0.388768085106        0.617043100153E-002   0.785625000008E-001
      313   0.394658510638        0.617043100153E-002   0.785625000008E-001
      314   0.400548936170        0.617043100153E-002   0.785625000008E-001
      315   0.406439361702        0.617043100153E-002   0.785625000008E-001
      316   0.412329787234        0.617043100153E-002   0.785625000008E-001
      317   0.418220212766        0.617043100153E-002   0.785625000008E-001
      318   0.424110638298        0.617043100153E-002   0.785625000008E-001
      319   0.430001063830        0.617043100153E-002   0.785625000008E-001
      320   0.435891489362        0.617043100153E-002   0.785625000008E-001

   NODE        X                   Y                   Z
      321   0.441781914894        0.617043100153E-002   0.785625000008E-001
      322   0.447672340426        0.617043100153E-002   0.785625000008E-001
      323   0.453562765958        0.617043100153E-002   0.785625000008E-001
      324   0.459453191489        0.617043100153E-002   0.785625000008E-001
      325   0.465343617021        0.617043100153E-002   0.785625000008E-001
      326   0.471234042553        0.617043100153E-002   0.785625000008E-001
      327   0.477124468085        0.617043100153E-002   0.785625000008E-001
      328   0.483014893617        0.617043100153E-002   0.785625000008E-001
      329   0.488905319149        0.617043100153E-002   0.785625000008E-001
      330   0.494795744681        0.617043100153E-002   0.785625000008E-001
      331   0.500686170213        0.617043100153E-002   0.785625000008E-001
      332   0.506576595745        0.617043100153E-002   0.785625000008E-001
      333   0.512467021277        0.617043100153E-002   0.785625000008E-001
      334   0.518357446809        0.617043100153E-002   0.785625000008E-001
      335   0.524247872340        0.617043100153E-002   0.785625000008E-001
      336   0.530138297872        0.617043100153E-002   0.785625000008E-001
      337   0.536028723404        0.617043100153E-002   0.785625000008E-001
      338   0.541919148936        0.617043100153E-002   0.785625000008E-001
      339   0.547809574468        0.617043100153E-002   0.785625000008E-001
      340   0.117808510638E-001   0.503813581473E-002   0.800381358172E-001

   NODE        X                   Y                   Z
      341   0.235617021277E-001   0.503813581473E-002   0.800381358172E-001
      342   0.353425531915E-001   0.503813581473E-002   0.800381358172E-001
      343   0.471234042553E-001   0.503813581473E-002   0.800381358172E-001
      344   0.589042553191E-001   0.503813581473E-002   0.800381358172E-001
      345   0.706851063830E-001   0.503813581473E-002   0.800381358172E-001
      346   0.824659574468E-001   0.503813581473E-002   0.800381358172E-001
      347   0.942468085106E-001   0.503813581473E-002   0.800381358172E-001
      348   0.106027659574        0.503813581473E-002   0.800381358172E-001
      349   0.117808510638        0.503813581473E-002   0.800381358172E-001
      350   0.129589361702        0.503813581473E-002   0.800381358172E-001
      351   0.141370212766        0.503813581473E-002   0.800381358172E-001
      352   0.153151063830        0.503813581473E-002   0.800381358172E-001
      353   0.164931914894        0.503813581473E-002   0.800381358172E-001
      354   0.176712765957        0.503813581473E-002   0.800381358172E-001
      355   0.188493617021        0.503813581473E-002   0.800381358172E-001
      356   0.200274468085        0.503813581473E-002   0.800381358172E-001
      357   0.212055319149        0.503813581473E-002   0.800381358172E-001
      358   0.223836170213        0.503813581473E-002   0.800381358172E-001
      359   0.235617021277        0.503813581473E-002   0.800381358172E-001
      360   0.247397872340        0.503813581473E-002   0.800381358172E-001

   NODE        X                   Y                   Z
      361   0.259178723404        0.503813581473E-002   0.800381358172E-001
      362   0.270959574468        0.503813581473E-002   0.800381358172E-001
      363   0.282740425532        0.503813581473E-002   0.800381358172E-001
      364   0.294521276596        0.503813581473E-002   0.800381358172E-001
      365   0.306302127660        0.503813581473E-002   0.800381358172E-001
      366   0.318082978723        0.503813581473E-002   0.800381358172E-001
      367   0.329863829787        0.503813581473E-002   0.800381358172E-001
      368   0.341644680851        0.503813581473E-002   0.800381358172E-001
      369   0.353425531915        0.503813581473E-002   0.800381358172E-001
      370   0.365206382979        0.503813581473E-002   0.800381358172E-001
      371   0.376987234043        0.503813581473E-002   0.800381358172E-001
      372   0.388768085106        0.503813581473E-002   0.800381358172E-001
      373   0.400548936170        0.503813581473E-002   0.800381358172E-001
      374   0.412329787234        0.503813581473E-002   0.800381358172E-001
